entry,subject
A theory of the serial position effect,Machine learning
A theory of the serial position effect,"Learning, Psychology of"
Planirovanie i uchet na mashinoschetnykh ustanovakakh,Accounting machines
Die Schlosserlehre Grundlagen für Schlosser zur Anleitung in Schule und Werkstatt und zum Selbstunterricht,Machine-shop practice
Die Schlosserlehre Grundlagen für Schlosser zur Anleitung in Schule und Werkstatt und zum Selbstunterricht,Machine-tools
Histoire de la machine à laver un objet technique dans la société française,Washing machines
Histoire de la machine à laver un objet technique dans la société française,History
"Advances in Petri nets, 1990",Machine theory
"Advances in Petri nets, 1990",Petri nets
"Advances in Petri Nets, 1991",Machine theory
"Advances in Petri Nets, 1991",Petri nets
Practical marksmanship the technique of field firing,"Shooting, Military"
Practical marksmanship the technique of field firing,Machine guns
Practical marksmanship the technique of field firing,Rifle practice
Rifles and machine guns a modern handbook of infantry and aircraft arms,Rifles
Rifles and machine guns a modern handbook of infantry and aircraft arms,Machine guns
Rifles and machine guns a modern handbook of infantry and aircraft arms,Firearms
"Supplementary commercial agreement between the United States and Italy Signed at Washington, March 2, 1909; proclaimed, April 24, 1909",Liquor industry
"Supplementary commercial agreement between the United States and Italy Signed at Washington, March 2, 1909; proclaimed, April 24, 1909",Taxation
"Supplementary commercial agreement between the United States and Italy Signed at Washington, March 2, 1909; proclaimed, April 24, 1909",Mowing machines
"By the King, a proclamation for prohibiting the transportation of frames for kniting and making of silk-stockings, and other wearing necessaries",Silk industry
"By the King, a proclamation for prohibiting the transportation of frames for kniting and making of silk-stockings, and other wearing necessaries",Commercial policy
"By the King, a proclamation for prohibiting the transportation of frames for kniting and making of silk-stockings, and other wearing necessaries",Knitting machines
Understanding MARC bibliographic machine readable cataloging,Machine-readable bibliographic data
Understanding MARC bibliographic machine readable cataloging,MARC formats
Cardiopulmonary bypass principles and techniques of extracorporeal circulation,Heart-Lung Machine
Cardiopulmonary bypass principles and techniques of extracorporeal circulation,Blood
Cardiopulmonary bypass principles and techniques of extracorporeal circulation,Cardiopulmonary bypass
Cardiopulmonary bypass principles and techniques of extracorporeal circulation,"Circulation, Artificial"
Cardiopulmonary bypass principles and techniques of extracorporeal circulation,Cardiopulmonary Bypass
Machine design,"Machinery, Kinematics of"
Machine design,Machine design
Memoria que tem por objecto revinidicar para a nação portugueza a gloria da invenção das machinas aerostaticas,Aircraft
Memoria que tem por objecto revinidicar para a nação portugueza a gloria da invenção das machinas aerostaticas,Flying-machines
Industrial robots proceedings = Robots industriels : comptes rendus = Industrie-Roboter : Tagungsberichte,Assembling machines
Industrial robots proceedings = Robots industriels : comptes rendus = Industrie-Roboter : Tagungsberichte,Automation
"Computability, complexity, and languages fundamentals of theoretical computer science",Computational complexity
"Computability, complexity, and languages fundamentals of theoretical computer science",Formal languages
"Computability, complexity, and languages fundamentals of theoretical computer science",Machine theory
Katalogisering i BIBSYS eksempelsamling,Cataloging
Katalogisering i BIBSYS eksempelsamling,BIBSYS (Information retrieval system)
Katalogisering i BIBSYS eksempelsamling,Machine-readable bibliographic data
Safety for workers in machine shops,Prevention
Safety for workers in machine shops,First aid in illness and injury
Safety for workers in machine shops,Machine-shop practice
Safety for workers in machine shops,First Aid
Safety for workers in machine shops,Accidents
Safety for workers in machine shops,Accident Prevention
Building IBM shaping an industry and its technology,Computer industry
Building IBM shaping an industry and its technology,History
"Automata, languages, and programming ninth colloquium, Aarhus, Denmark, July 12-16, 1982",Formal languages
"Automata, languages, and programming ninth colloquium, Aarhus, Denmark, July 12-16, 1982",Programming languages (Electronic computers)
"Automata, languages, and programming ninth colloquium, Aarhus, Denmark, July 12-16, 1982",Machine theory
Planning and learning by analogical reasoning,Decision Making
Planning and learning by analogical reasoning,Machine learning
Planning and learning by analogical reasoning,Decision making
Planning and learning by analogical reasoning,Reasoning
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan","Handbooks, manuals, etc"
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan",Home economics
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan",Agriculture
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan",Botany
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan",Zoology
"Continuation der Vollständigen Hauss- und Land-Bibliothec das ist, Fortsetzung des Grunds unverfälschter Wissenschafft deren sich jetziger Zeit ein Hoff- Handels- Hauss- Burgers- und Land-Mann zu seinem reichlichen Nutzen bedienen kan",Simple machines
Understanding interfaces a handbook of human-computer dialogue,Human-machine systems
Understanding interfaces a handbook of human-computer dialogue,User-Computer Interface
Understanding interfaces a handbook of human-computer dialogue,Man-Machine Systems
Understanding interfaces a handbook of human-computer dialogue,Attitude to Computers
Understanding interfaces a handbook of human-computer dialogue,User interfaces (Computer systems)
Understanding interfaces a handbook of human-computer dialogue,Interfaces (Computers)
Understanding interfaces a handbook of human-computer dialogue,Human-computer interaction
"On the further development of the collective-farm system and reorganization of the machine and tractor stations report and concluding speech to the first session of the U.S.S.R. Supreme Soviet (Fifth Convocation) March 27 and 31, 1958 ; Law on the further development of the collective-farm system and reorganization of the machine and tractor stations",Collective farms
"On the further development of the collective-farm system and reorganization of the machine and tractor stations report and concluding speech to the first session of the U.S.S.R. Supreme Soviet (Fifth Convocation) March 27 and 31, 1958 ; Law on the further development of the collective-farm system and reorganization of the machine and tractor stations",Machine-tractor stations
Duḥot kaspiyim,Copying machines
Duḥot kaspiyim,Financial statements
Duḥot kaspiyim,Office equipment and supplies
Wege zur Steigerung der Arbeitsproduktivität im Maschinenbau der UdSSR (Veröffentlichung der Instituts für Ökonomie der Akademie der Wissenschaften der UdSSR),Machine shops
Wege zur Steigerung der Arbeitsproduktivität im Maschinenbau der UdSSR (Veröffentlichung der Instituts für Ökonomie der Akademie der Wissenschaften der UdSSR),Labor productivity
"Vom Buchdruck in den Cyberspace? Mensch-Maschine-Kommunikation : Dokumentation einer Tagung, 07.06. bis 09.06.1993",Human-machine systems
Beiträge zur Lexikonerstellung in EUROTRA Projekt : Aufbau der Transferlexika in EUROTRA-D,German language
Beiträge zur Lexikonerstellung in EUROTRA Projekt : Aufbau der Transferlexika in EUROTRA-D,Lexicography
Beiträge zur Lexikonerstellung in EUROTRA Projekt : Aufbau der Transferlexika in EUROTRA-D,Machine translating
Beiträge zur Lexikonerstellung in EUROTRA Projekt : Aufbau der Transferlexika in EUROTRA-D,Electronic dictionaries
Beiträge zur Lexikonerstellung in EUROTRA Projekt : Aufbau der Transferlexika in EUROTRA-D,Data processing
"Ajuste estructural y estrategias empresariales en Argentina, Brasil y México un análisis comparativo de la industria petroquímico y de máquinas herramientas",Machine-tool industry
"Ajuste estructural y estrategias empresariales en Argentina, Brasil y México un análisis comparativo de la industria petroquímico y de máquinas herramientas",Petroleum chemicals industry
Der Stand der Forschung auf dem Gebiet der maschinellen Übersetzung,Research
Der Stand der Forschung auf dem Gebiet der maschinellen Übersetzung,Machine translating
Research on automatic translation at the Harvard Computation Laboratory,Research
Research on automatic translation at the Harvard Computation Laboratory,Machine translating
Beschreibung verschiedener Elektrisirmaschinen zum Gebrauch für Schulen,Electric machines
Beschreibung verschiedener Elektrisirmaschinen zum Gebrauch für Schulen,Electricity
"Machine translation and the lexicon third International EAMT Workshop, Heidelberg, Germany, April 26-28, 1993 : proceedings",Lexicology
"Machine translation and the lexicon third International EAMT Workshop, Heidelberg, Germany, April 26-28, 1993 : proceedings",Machine translating
"Machine translation and the lexicon third International EAMT Workshop, Heidelberg, Germany, April 26-28, 1993 : proceedings",Data processing
Sur les progrès de la science électrique et les nouvelles machines d'induction,Electricity
Sur les progrès de la science électrique et les nouvelles machines d'induction,History
Sur les progrès de la science électrique et les nouvelles machines d'induction,Electrical Equipment and Supplies
Sur les progrès de la science électrique et les nouvelles machines d'induction,Electric machines
Sur les progrès de la science électrique et les nouvelles machines d'induction,Electric apparatus and appliances
"Catalogue and price list of H.P. Engeln Co. (glass and micanite), static machines and all electro-medical supplies",Electric machines
"Electrical influence machines A full account of their historical development, and modern forms, with instructions for making them",History
"Electrical influence machines A full account of their historical development, and modern forms, with instructions for making them",Electric machines
"Electrical influence machines A full account of their historical development, and modern forms, with instructions for making them",Mechanical drawing
"A practical description of every form of medico-electric apparatus in modern use with plain directons [sic] for mounting, charging, and working",Electric machines
"Electrical batteries, static machines, X-ray coils, transformers, rheostats and supplies catalogue of Department IV",X-rays
"Electrical batteries, static machines, X-ray coils, transformers, rheostats and supplies catalogue of Department IV",Electrical Equipment and Supplies
"Electrical batteries, static machines, X-ray coils, transformers, rheostats and supplies catalogue of Department IV",Equipment and supplies
"Electrical batteries, static machines, X-ray coils, transformers, rheostats and supplies catalogue of Department IV",Electric machines
"Electrical batteries, static machines, X-ray coils, transformers, rheostats and supplies catalogue of Department IV",Electric batteries
"O dalʹneĭshem razvitii kolkhoznogo stroi︠a︡ i reorganizat︠s︡ii mashinno-traktornykh stant︠s︡iĭ postanovlenie Plenuma T︠S︡K KPSS po dokladu tovarishcha N. S. Khrushcheva, prini︠a︡toe 26 fevrali︠a︡ 1958 goda. Tezisy doklada N. S. Khrushcheva na sessii Verkhovnogo Soveta SSSR",Collective farms
"O dalʹneĭshem razvitii kolkhoznogo stroi︠a︡ i reorganizat︠s︡ii mashinno-traktornykh stant︠s︡iĭ postanovlenie Plenuma T︠S︡K KPSS po dokladu tovarishcha N. S. Khrushcheva, prini︠a︡toe 26 fevrali︠a︡ 1958 goda. Tezisy doklada N. S. Khrushcheva na sessii Verkhovnogo Soveta SSSR",Machine-tractor stations
02 Hyūman wea no keizaigaku Amerika no naka no Nihon kigyō = Human ware,Human-machine systems
02 Hyūman wea no keizaigaku Amerika no naka no Nihon kigyō = Human ware,Creative ability in technology
02 Hyūman wea no keizaigaku Amerika no naka no Nihon kigyō = Human ware,Automobile industry and trade
02 Hyūman wea no keizaigaku Amerika no naka no Nihon kigyō = Human ware,Social aspects
02 Hyūman wea no keizaigaku Amerika no naka no Nihon kigyō = Human ware,"Investments, Japanese"
Khozraschet i rentabelʹnostʹ MTS,Accounting
Khozraschet i rentabelʹnostʹ MTS,Machine-tractor stations
L' homme machine a study in the origins of an idea,"History, 18th Century"
L' homme machine a study in the origins of an idea,Philosophy
L' homme machine a study in the origins of an idea,Materialism
L' homme machine a study in the origins of an idea,Mechanism (Philosophy)
L' homme machine a study in the origins of an idea,Mind and body
L' homme machine a study in the origins of an idea,Physiology
L' homme machine a study in the origins of an idea,"Mind-Body Relations, Metaphysical"
La traite mécanique,Milking machines
[Chelovek v avtomatizirovannykh sistemakh upravleni︠a︡],Man-Machine Systems
[Chelovek v avtomatizirovannykh sistemakh upravleni︠a︡],"Psychology, Industrial"
[Chelovek v avtomatizirovannykh sistemakh upravleni︠a︡],Human-machine systems
[Chelovek v avtomatizirovannykh sistemakh upravleni︠a︡],Process control
Prowortsemantik und Pronomina zum semantischen Spektrum der Prowörter der deutschen Gegenwartssprache,Semantics
Prowortsemantik und Pronomina zum semantischen Spektrum der Prowörter der deutschen Gegenwartssprache,Machine translating
Prowortsemantik und Pronomina zum semantischen Spektrum der Prowörter der deutschen Gegenwartssprache,Pronoun
Prowortsemantik und Pronomina zum semantischen Spektrum der Prowörter der deutschen Gegenwartssprache,German language
Shop sketching,Machine design
Shop sketching,Mechanical drawing
The universal Turing machine a half-century survey,Turing machines
The prehistory of aviation,History
The prehistory of aviation,Aeronautics
The prehistory of aviation,Flying-machines
The milking machine as a factor in dairying (a preliminary report I.--Practical studies of a milking machine,Milking machines
IBM accounting circulation control for public libraries,Charging systems (Libraries)
L' aéronef de l'avenir exposé d'une nouvelle solution du navire aérien pratique,Aircraft
L' aéronef de l'avenir exposé d'une nouvelle solution du navire aérien pratique,Airplanes
L' aéronef de l'avenir exposé d'une nouvelle solution du navire aérien pratique,History
L' aéronef de l'avenir exposé d'une nouvelle solution du navire aérien pratique,Flying-machines
L' aéronef de l'avenir exposé d'une nouvelle solution du navire aérien pratique,Aeronautics
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",Management
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",Customer services
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",Computer industry
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",Electronic office machine industry
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",organization & administration
"Running an effective help desk planning, implementing, marketing, automating, improving, outsourcing",Information Services
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Computational linguistics
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Lexicography
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Computer-assisted instruction
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Machine translating
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Phonology
"Proceedings of ""Akshara 94"" on Information Technology Applications in Language, Script & Speech February 25-26, 1994, New Delhi",Languages
"Static machines, X-ray supplies and electro-therapeutical apparatus",X-rays
"Static machines, X-ray supplies and electro-therapeutical apparatus",Electrotherapeutics
"Static machines, X-ray supplies and electro-therapeutical apparatus",Equipment and supplies
"Static machines, X-ray supplies and electro-therapeutical apparatus",Instruments
"Static machines, X-ray supplies and electro-therapeutical apparatus",Electric machines
"Hygiène, rendement et fonctionnement de la machine à traire",Microbiology
"Hygiène, rendement et fonctionnement de la machine à traire",Milk
"Hygiène, rendement et fonctionnement de la machine à traire",Milking machines
"Hygiène, rendement et fonctionnement de la machine à traire",Veterinary hygiene
"Hygiène, rendement et fonctionnement de la machine à traire",Udder
Study of interagency committee on the treatment of the German machine tool industry from the standpoint of international security,Machine-tool industry
Le macchine utensili e la loro industria alternative tecnologiche nello sviluppo economico,Machine-tool industry
Le macchine utensili e la loro industria alternative tecnologiche nello sviluppo economico,Economic policy
Unification-based transfer in machine translation,Computational linguistics
Unification-based transfer in machine translation,Machine translating
Elements of machine design,Machine design
The servant in the house a brief history of the sewing machine,Sewing machines
The servant in the house a brief history of the sewing machine,History
Mashinnyĭ perevod sbornik stateĭ,Machine translating
"Logik, Automaten, Algorithmen",Switching theory
"Logik, Automaten, Algorithmen",Algorithms
"Logik, Automaten, Algorithmen",Sequential machine theory
Traduction humaine et traduction mécanique,Machine translating
Traduction humaine et traduction mécanique,Translating
Traduction humaine et traduction mécanique,Translating and interpreting
Automatic translation,Machine translating
PI catalogue general catalogue of machinery and apparatus in Japan,Machine-tools
PI catalogue general catalogue of machinery and apparatus in Japan,Machinery
Translator's workbench tools and terminology for translation and text processing,Machine translating
Translator's workbench tools and terminology for translation and text processing,Data processing
Translator's workbench tools and terminology for translation and text processing,Discourse analysis
The book of the machine gun,Machine guns
A manual of machine drawing and design,Machine design
A manual of machine drawing and design,Mechanical drawing
The language of machines an introduction to computability and formal languages,Formal languages
The language of machines an introduction to computability and formal languages,Machine theory
The language of machines an introduction to computability and formal languages,Computable functions
"Illustrated catalogue of the collections in the Science museum, South Kensington with descriptive and historical notes. Machine tools",Machine-tools
The machine tool collection catalogue of exhibits with historical introduction,Machine-tools
01 Hanʾguk ŭi pupʻum sanŏp,Machine parts industry
Local applications of the ecological approach to human-machine systems,Human engineering
Local applications of the ecological approach to human-machine systems,Human-machine systems
Local applications of the ecological approach to human-machine systems,Ergonomics
Global perspectives on the ecology of human-machine systems,Environmental psychology
Global perspectives on the ecology of human-machine systems,Environmental aspects
Global perspectives on the ecology of human-machine systems,Human-machine systems
Global perspectives on the ecology of human-machine systems,Ergonomics
Global perspectives on the ecology of human-machine systems,Human engineering
Global perspectives on the ecology of human-machine systems,Environmental Psychology
Computation and intelligence collected readings,Artificial intelligence
Computation and intelligence collected readings,Machine learning
Computation and intelligence collected readings,Computer science
"Machine learning ECML-95 : 8th European Conference on Machine Learning, Heraclion, Crete, Greece, April 25-27, 1995 : proceedings",Machine learning
On-line computer classification of handprinted Chinese characters as a translation aid,Online Systems
On-line computer classification of handprinted Chinese characters as a translation aid,Chinese language
On-line computer classification of handprinted Chinese characters as a translation aid,Machine translating
On-line computer classification of handprinted Chinese characters as a translation aid,Word formation
On-line computer classification of handprinted Chinese characters as a translation aid,Online data processing
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Science
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Means of communication
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Printing and writing systems
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Flying-machines
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Aeronautics
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Blind
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Microscopy
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Telescopes
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Deaf
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Mechanical engineering
"Prodromo ouero, Saggio di alcune inuentioni nuoue premesso all'Arte maestra, opera che prepara il p. Francesco Lana Bresciano della Compagnia di Giesv",Microscopes
Janson an authentic revival of a classic book face,Type and type-founding
Janson an authentic revival of a classic book face,Printing
Tree and shrub transplanting manual,Transplanting machines
Tree and shrub transplanting manual,Trees
Tree and shrub transplanting manual,Shrubs
Tree and shrub transplanting manual,Transplanting
Teatrum Makhinarum A.K.Nartova - k 200-letiiu so dnia smerti A.K.Nartova avtora pervogo russkogo truda o stankakh,Machine-tools
"Italian Old Style a new type designed by Frederic W. Goudy and produced by the Lanston Monotype Machine Company of Philadelphia, 1924",Printing
"Italian Old Style a new type designed by Frederic W. Goudy and produced by the Lanston Monotype Machine Company of Philadelphia, 1924",Specimens
Machine translation and applied linguistics,Computational linguistics
Machine translation and applied linguistics,Semantics
Machine translation and applied linguistics,Machine translating
C4.5 programs for machine learning,Machine learning
C4.5 programs for machine learning,Algorithms
C4.5 programs for machine learning,Computer programming
An introduction to machine drawing and design,Technical illustration
An introduction to machine drawing and design,Machine design
An introduction to machine drawing and design,Mechanical drawing
The fate of IBM,United States
The fate of IBM,Management
The fate of IBM,Computer industry
The fate of IBM,History
The fate of IBM,ComputersProduction
"The Victor master book, volume 2 (1925-1936)",Music
"Manual of modern automatic guns loading, firing, details of mechanism, stoppages and immediate action, stripping & assembling, etc",Machine guns
"Railway and machinists' tools and supplies, electric traveling and wrecking cranes machine tools",Machine-tools
Sistema nabora Ludlou,Typesetting machines
"Tool making a practical treatise on the art of making tools, jigs, and fixtures, with helpful suggestions on heat treatment of carbon and high-speed steels for tools, punches, and dies",Machine-tools
Les mitrailleuses,Machine guns
Edition case binding,Bookbinding machines
Edition case binding,Bookbinding
"Flying machines past, present and future. A popular account of flying machines, dirigible balloons and aeroplanes",Aviation
"Flying machines past, present and future. A popular account of flying machines, dirigible balloons and aeroplanes",Aircraft
"Flying machines past, present and future. A popular account of flying machines, dirigible balloons and aeroplanes",Aeronautics
"Flying machines past, present and future. A popular account of flying machines, dirigible balloons and aeroplanes",Flying-machines
"Flying machines: past, present, and future A popular account of flying machines, dirigible balloons and aeroplanes",Airships
"Flying machines: past, present, and future A popular account of flying machines, dirigible balloons and aeroplanes",Aeronautics
"Flying machines: past, present, and future A popular account of flying machines, dirigible balloons and aeroplanes",Flying-machines
Harry Bradford's crusade,Conduct of life
Harry Bradford's crusade,Children
Harry Bradford's crusade,Charity
Harry Bradford's crusade,Friendship
Harry Bradford's crusade,Child abuse
Harry Bradford's crusade,Animal welfare
Harry Bradford's crusade,Bookbinding
An investigation of programmed learning in melodic dictation by means of a teaching machine using a branching technique of programming,Melody
An investigation of programmed learning in melodic dictation by means of a teaching machine using a branching technique of programming,Musical dictation
An investigation of programmed learning in melodic dictation by means of a teaching machine using a branching technique of programming,Teaching machines
Il progetto Anecdota informatica e basi dati per lo studio del libro antico,Cataloging of early printed books
Il progetto Anecdota informatica e basi dati per lo studio del libro antico,Cataloging of rare books
Il progetto Anecdota informatica e basi dati per lo studio del libro antico,Machine-readable bibliographic data
Il progetto Anecdota informatica e basi dati per lo studio del libro antico,Dataprocessing
Il progetto Anecdota informatica e basi dati per lo studio del libro antico,Data processing
Nauchnai︠a︡ organizat︠s︡ii︠a︡ truda na rabochem meste,Machine-shop practice
Nauchnai︠a︡ organizat︠s︡ii︠a︡ truda na rabochem meste,Work measurement
Discrete-event system theory an introduction,Machine theory
Discrete-event system theory an introduction,Discrete-time systems
01 Nōkigu seizōgyō,Agricultural machinery industry
01 Nōkigu seizōgyō,Threshing machines industry
01 Nōkigu seizōgyō,Employees
01 Nōkigu seizōgyō,Vocational qualifications
01 Nōkigu seizōgyō,Job descriptions
The medical application of electricity,Magneto-electric machines
The medical application of electricity,Electrotherapeutics
The medical application of electricity,Electric Stimulation Therapy
Machine learning and knowledge acquisition integrated approaches,Artificial intelligence
Machine learning and knowledge acquisition integrated approaches,Machine learning
Machine learning and knowledge acquisition integrated approaches,Expert systems (Computer science)
Machine learning and knowledge acquisition integrated approaches,Knowledge acquisition (Expert systems)
"Le Mécanisme du fluteur automate, Frontispiece presenté a messieurs de l'Académie royale des sciences",Robots
"Le Mécanisme du fluteur automate, Frontispiece presenté a messieurs de l'Académie royale des sciences",Machine theory
"Eerste vervolg der proefneemingen, gedaan met Teyler's electrizeer-machine",Electric machines
Tweede vervolg der proefneemingen gedaan met Teyler's electrizeer-machine =Seconde continuation des expériences faites par le moyen de la machine électrique teylerienne / par Martinus van Marum,Early works to 1850
Tweede vervolg der proefneemingen gedaan met Teyler's electrizeer-machine =Seconde continuation des expériences faites par le moyen de la machine électrique teylerienne / par Martinus van Marum,Experiments
Tweede vervolg der proefneemingen gedaan met Teyler's electrizeer-machine =Seconde continuation des expériences faites par le moyen de la machine électrique teylerienne / par Martinus van Marum,Electric machines
Tweede vervolg der proefneemingen gedaan met Teyler's electrizeer-machine =Seconde continuation des expériences faites par le moyen de la machine électrique teylerienne / par Martinus van Marum,Electricity
Modelirovanie i︠a︡zyka i mashinnyĭ perevod,Computational linguistics
Modelirovanie i︠a︡zyka i mashinnyĭ perevod,Machine translating
Computerized grammars for analysis and machine translation,Grammars
Computerized grammars for analysis and machine translation,Language and languages
Computerized grammars for analysis and machine translation,Machine translating
Computerized grammars for analysis and machine translation,Data processing
Beiträge zur Geschichte und Technik der Handwaffen und Maschinengewehre Zeitschriftenaufsätze 1940-1969,History
Beiträge zur Geschichte und Technik der Handwaffen und Maschinengewehre Zeitschriftenaufsätze 1940-1969,Firearms
Beiträge zur Geschichte und Technik der Handwaffen und Maschinengewehre Zeitschriftenaufsätze 1940-1969,Machine guns
Stories for young people,Specimens
Stories for young people,Machine-stamped bindings
Stories for young people,Bookbinding
"... Milling machines, shapers, and planers",Equipment
"... Milling machines, shapers, and planers",Milling-machines
Report of the Attorney General of the United States prepared pursuant to the provisions of section 205 of the War Mobilization and Reconversion Act on government ownership of machine tools and provisions for disposition of surplus machine tools,Machine-tool industry
Report of the Attorney General of the United States prepared pursuant to the provisions of section 205 of the War Mobilization and Reconversion Act on government ownership of machine tools and provisions for disposition of surplus machine tools,Government property
"02 Pasokon ni yoru Ei-Nichi, Nichi-Ei jidō honʾyaku honʾyaku sofuto, tsuūru o dō tsukau ka",Machine translating
"02 Pasokon ni yoru Ei-Nichi, Nichi-Ei jidō honʾyaku honʾyaku sofuto, tsuūru o dō tsukau ka",Japanese language
"02 Pasokon ni yoru Ei-Nichi, Nichi-Ei jidō honʾyaku honʾyaku sofuto, tsuūru o dō tsukau ka",English language
Lohiko-hnoseolohichnyĭ analiz pryntsypiv kibernetychnoho modeli︠u︡vanni︠a︡,Artificial intelligence
Lohiko-hnoseolohichnyĭ analiz pryntsypiv kibernetychnoho modeli︠u︡vanni︠a︡,Logic machines
Bread machine baking perfect every time : 75 foolproof bread and dessert recipes custom-created for the 12 most popular bread machines,Automatic bread machines
Bread machine baking perfect every time : 75 foolproof bread and dessert recipes custom-created for the 12 most popular bread machines,Bread
Mashinnyi perevod,Machine translating
Duḥot kaspiyim,Financial statements
Duḥot kaspiyim,Bearings industry
Duḥot kaspiyim,Machine parts industry
Hollywood's other blacklist union struggles in the studio system,Labor unions
Hollywood's other blacklist union struggles in the studio system,Employees
Hollywood's other blacklist union struggles in the studio system,Motion picture industry
Hollywood's other blacklist union struggles in the studio system,History
Hollywood's other blacklist union struggles in the studio system,Blacklisting of entertainers
Hollywood's other blacklist union struggles in the studio system,Strikes and lockouts
Hollywood's other blacklist union struggles in the studio system,"Blacklisting, Labor"
"Groot volkomen moolenboek; of, Naauwkeurig ontwerp van allerhande tot nog toe bekende soorten van moolens : met haare gronden en opstallen, en al het geen verder dar toe behoort",Mills and millwork
"Groot volkomen moolenboek; of, Naauwkeurig ontwerp van allerhande tot nog toe bekende soorten van moolens : met haare gronden en opstallen, en al het geen verder dar toe behoort",Windmills
"Groot volkomen moolenboek; of, Naauwkeurig ontwerp van allerhande tot nog toe bekende soorten van moolens : met haare gronden en opstallen, en al het geen verder dar toe behoort",Machine design
Elementary machine shop practice,Machine-shop practice
Elementary machine shop practice,Machine-tools
"The ground-cushion phenomenon Hearings before the Committee on Science and Astronautics, House of Representatives, Eighty-sixth Congress, first session. April 13, 14, and 15, 1959",Ground-cushion phenomenon
"The ground-cushion phenomenon Hearings before the Committee on Science and Astronautics, House of Representatives, Eighty-sixth Congress, first session. April 13, 14, and 15, 1959",Ground-effect machines
The ground-cushion phenomenon Report of the Committee on Science and Astronautics,Ground-cushion phenomenon
The ground-cushion phenomenon Report of the Committee on Science and Astronautics,Ground-effect machines
"The tanks at Flers an account of the first use of tanks in war at the battle of Flers-Courcelette, the Somme, 15th September 1916","Somme, 1st Battle of the, France, 1916"
"The tanks at Flers an account of the first use of tanks in war at the battle of Flers-Courcelette, the Somme, 15th September 1916",History
"The tanks at Flers an account of the first use of tanks in war at the battle of Flers-Courcelette, the Somme, 15th September 1916",Tanks (Military science)
The quality journey how winning the Baldrige sparked the remaking of IBM,Quality control
